#Time(sec),time frame (ms),average response time (ms),min response time (ms),max response time (ms),number of actions,action throughput (actions/s),number of errors,error throughput (errors/s),error rate (%),response time std deviation (ms)
122,1001,0,0,0,0,0,0,0,0,0
123,1001,0,0,0,0,0,0,0,0,0
124,1001,0,0,0,0,0,0,0,0,0
125,1001,0,0,0,0,0,0,0,0,0
126,1001,0,0,0,0,0,0,0,0,0
127,1001,0,0,0,0,0,0,0,0,0
128,1001,0,0,0,0,0,0,0,0,0
129,1001,0,0,0,0,0,0,0,0,0
130,1001,0,0,0,0,0,0,0,0,0
131,1000,0,0,0,0,0,0,0,0,0
132,1001,0,0,0,0,0,0,0,0,0
133,1001,0,0,0,0,0,0,0,0,0
134,1001,0,0,0,0,0,0,0,0,0
135,1000,0,0,0,0,0,0,0,0,0
136,1001,0,0,0,0,0,0,0,0,0
137,1000,0,0,0,0,0,0,0,0,0
138,1001,0,0,0,0,0,0,0,0,0
139,1000,0,0,0,0,0,0,0,0,0
140,1003,200,21,631,13,12,0,0,0,209
141,1000,450,33,1574,33,20,1,1,4,464
142,1001,478,23,1903,53,19,2,0,4,544
143,1000,320,24,1334,73,20,3,1,4,348
144,1001,258,23,745,93,19,4,0,4,235
145,1000,316,29,1017,113,20,5,1,4,300
146,1001,288,31,760,133,19,6,0,4,257
147,1000,254,29,592,153,20,7,1,4,216
148,1001,270,33,840,173,19,8,0,4,241
149,1000,376,34,1382,193,20,9,1,4,380
150,1001,310,12,1602,213,19,10,0,4,359
151,1000,282,29,785,233,20,11,1,4,249
152,1001,626,34,2239,253,19,12,0,4,626
153,1000,289,14,911,273,20,13,1,4,277
154,1001,249,27,687,293,19,14,0,4,220
155,1000,250,24,725,313,20,15,1,4,227
156,1001,438,17,1528,333,19,16,0,4,451
157,1000,475,8,1566,353,20,17,1,4,498
158,1001,602,8,1828,373,19,18,0,4,536
159,1000,324,27,1048,393,20,19,1,4,307
160,1000,349,10,1438,413,20,20,1,4,356
161,1001,572,30,1409,433,19,21,0,4,556
162,1000,557,16,1824,453,20,22,1,4,607
163,1001,386,27,1660,473,19,23,0,4,417
164,1000,259,7,693,493,20,24,1,4,236
165,1001,454,11,1876,513,19,25,0,4,538
166,1000,270,29,668,533,20,26,1,4,237
167,1001,266,23,808,553,19,27,0,4,249
168,1000,358,25,1356,573,20,28,1,4,380
169,1001,254,24,665,593,19,29,0,4,224
170,1001,563,22,1702,613,19,30,0,4,597
171,1000,393,27,1380,633,20,31,1,4,414
172,1001,435,16,1505,653,19,32,0,4,443
173,1001,341,29,1074,673,19,33,0,4,341
174,1000,244,27,680,693,20,34,1,4,220
175,1001,277,30,653,713,19,35,0,4,239
176,1000,385,27,1727,733,20,36,1,4,406
177,1001,283,32,721,753,19,37,0,4,250
178,1000,279,9,714,773,20,38,1,4,249
179,1001,301,26,902,793,19,39,0,4,266
180,1000,443,23,1589,813,20,40,1,4,473
181,1001,255,17,564,833,19,41,0,4,227
182,1000,269,7,675,853,20,42,1,4,238
183,1001,249,28,603,873,19,43,0,4,215
184,1000,333,26,1386,893,20,44,1,4,378
185,1001,537,18,1633,913,19,45,0,4,535
186,1000,557,28,2319,933,20,46,1,4,700
187,1001,257,25,835,953,19,47,0,4,234
188,1000,289,7,860,973,20,48,1,4,282
189,1001,327,27,1345,993,19,49,0,4,354
190,1000,261,7,742,1013,20,50,1,4,240
191,1001,287,30,670,1033,19,51,0,4,255
192,1000,240,25,598,1053,20,52,1,4,212
193,1001,294,30,862,1073,19,53,0,4,274
194,1000,281,21,806,1093,20,54,1,4,260
195,1001,320,24,1100,1113,19,55,0,4,312
196,1000,424,19,1636,1133,20,56,1,4,482
197,1001,534,23,1750,1153,19,57,0,4,570
198,1001,430,24,1608,1173,19,58,0,4,476
199,1000,385,29,1550,1193,20,59,1,4,447
